// Unused singles
OSO (35, 327) (170, 0) - 1 5 14 4 10 4 16 6 20 6 18 6 17 1 6 1 19 6 18 6 18 6 19 1 6 1 16 1 6 1 19 6 18 6 19
CS (52, 404) (170, 0) - 1 5 12 4 10 4 14 6 16 4 8 4 13 1 7 18 7 1 13 4 8 4 16 6 14 4 10 4 12 5 1 19 6 12 4 12 4 8 2 6 4 14 4 6 2 8 4 12 4 12 6 19
CS (54, 436) (170, 0) - 1 5 14 4 12 4 10 2 4 2 8 4 16 4 8 4 16 4 8 2 4 2 10 4 12 4 14 5 1 21 6 14 4 10 4 16 6 20 7 1 13 4 13 1 7 20 6 16 4 10 4 14 6 21
CS (92, 700) (170, 0) - 1 5 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 6 21 1 5 14 4 12 4 10 4 16 6 18 6 18 4 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 4 18 6 18 6 16 4 10 4 12 4 14 5 1 21 6 14 4 10 4 14 4 10 4 14 4 10 4 14 4 10 4 14 5 1 20
OSO (27, 247) (171, 0) - 1 5 14 4 10 4 12 4 10 4 14 6 19 1 6 1 15 6 18 6 16 6 18 6 16 6 19
OSO (45, 359) (172, 0) - 1 5 12 4 14 4 10 4 16 6 19 1 6 1 16 1 6 1 19 6 16 4 10 4 14 4 10 4 16 6 19 1 6 1 16 1 6 1 19 6 17 1 6 1 18
CS (88, 664) (172, 0) - 1 5 14 4 12 4 12 4 10 2 6 4 17 1 6 1 17 6 20 6 16 5 1 21 6 14 4 12 4 12 4 12 2 2 2 10 4 12 2 2 2 10 4 14 4 10 2 2 2 12 4 10 2 2 2 12 4 12 4 12 4 14 6 21 1 5 16 6 20 6 17 1 6 1 17 4 6 2 10 4 12 4 12 4 14 5 1 20
OSO (23, 187) (175, 0) - 1 5 10 2 4 2 8 2 4 2 8 4 16 6 18 6 18 6 18 6 18 6 17
OSO (31, 233) (175, 0) - 1 5 12 4 14 4 10 4 14 4 12 4 12 4 12 4 12 4 14 4 10 4 14 4 10 2 4 2 8 4 17
OSO (27, 201) (177, 0) - 1 5 14 4 12 4 12 4 12 4 10 2 6 4 16 4 8 2 4 2 10 4 12 4 14 6 21
