// 8 25
// 9 24
// 9 24.5
// 8 25.5
// The following stables colored squares:
CS (26, 196) (56, 1) - 1 5 12 2 2 2 12 4 12 2 2 2 12 5 1 19 6 18 5 1 22 1 5 18 6 19
CS (38, 316) (56, 615) - 1 5 12 4 12 4 14 6 21 1 5 14 4 12 4 12 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 5 1 17 4 8 4 17
CS (44, 312) (56, 621) - 1 5 12 2 2 2 10 4 14 5 1 20 1 5 14 4 10 2 2 2 12 5 1 19 6 16 5 1 20 1 5 12 2 2 2 12 5 1 20 1 5 16 6 19
OSO (23, 161) (57, 1445) - 1 5 12 4 14 6 19 1 6 1 16 1 6 1 18 1 6 1 16 1 6 1 18
CS (36, 388) (57, 99) - 1 5 16 5 1 21 6 16 6 20 6 16 5 1 21 6 16 6 20 6 16 6 20 6 16 6 21 1 5 16 6 20 6 16 6 21
CS (46, 412) (57, 61) - 1 5 15 1 6 1 19 6 16 5 1 21 7 1 15 6 20 6 15 1 7 21 1 5 16 6 19 1 6 1 15 5 1 19 6 18 6 17 1 6 1 17 6 18 6 19
CS (26, 200) (58, 59) - 1 5 12 4 12 5 1 17 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 17
CS (56, 388) (58, 75) - 1 5 12 2 2 2 12 5 1 19 6 17 1 6 1 19 6 16 5 1 20 1 6 1 15 4 8 2 6 2 6 2 6 2 6 2 6 2 8 4 15 1 6 1 20 1 5 16 6 19 1 6 1 17 6 19
CS (28, 260) (59, 27) - 1 5 14 4 14 6 21 1 5 16 5 1 21 6 14 4 14 5 1 21 6 14 4 12 4 14 6 21
CS (54, 480) (59, 54) - 1 5 16 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 16 5 1 21 7 1 15 6 20 6 17 1 6 1 17 6 20 6 15 1 7 21
CS (32, 288) (60, 842) - 1 5 12 5 1 17 6 20 6 15 1 7 20 6 17 1 6 1 18 1 6 1 17 6 20 7 1 15 6 20 6 17
CS (46, 408) (60, 53) - 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 6 21 1 5 14 4 12 4 14 5 1 21 7 1 15 6 21 1 5 16 5 1 21 6 15 1 7 21
CS (60, 372) (60, 386) - 1 5 10 2 4 2 8 2 4 2 8 4 16 6 19 1 5 14 5 1 19 6 16 4 8 2 4 2 8 2 4 2 10 5 1 17 6 18 4 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 4 18 6 17
CS (32, 280) (61, 66) - 1 5 15 1 6 1 21 6 16 5 1 21 6 16 4 10 4 16 6 21 1 5 16 6 21 1 6 1 15 5 1 20
CS (38, 284) (61, 49) - 1 5 12 4 12 5 1 18 1 6 1 17 6 16 5 1 20 1 6 1 15 4 8 4 15 1 6 1 20 1 5 16 6 17 1 6 1 18
CS (56, 560) (62, 315) - 1 5 14 6 20 6 16 5 1 21 6 14 5 1 19 6 16 6 19 1 5 14 6 20 6 16 6 20 6 14 5 1 19 6 16 6 19 1 5 14 6 21 1 5 16 6 20 6 14 5 1 19 6 16 6 19
CS (62, 612) (62, 335) - 1 6 1 17 6 20 7 1 14 1 7 20 6 17 1 6 1 17 6 20 7 1 14 1 7 20 6 17 1 6 1 17 6 20 7 1 15 6 20 6 16 6 20 6 16 6 20 6 16 6 20 6 16 6 20 6 15 1 7 20 6 17
CS (64, 556) (62, 217) - 1 5 14 4 12 4 12 4 14 5 1 21 7 1 15 5 1 21 6 14 4 12 4 12 4 12 4 14 6 21 1 5 15 1 7 21 1 5 14 4 12 4 12 4 14 5 1 21 7 1 15 6 21 1 5 16 5 1 21 6 15 1 7 21
CS (74, 556) (62, 307) - 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 6 21
CS (38, 320) (63, 262) - 1 5 12 4 12 4 12 4 12 4 12 4 12 5 1 17 6 20 7 1 14 1 7 21 1 5 16 5 1 21 7 1 14 1 7 20 6 17
OSO (19, 185) (65, 258) - 1 5 14 5 1 19 6 16 6 18 6 16 6 18 6 16 5 1 20
CS (20, 172) (65, 99) - 1 5 14 6 17 1 6 1 17 6 14 5 1 19 6 12 4 12 6 19
CS (36, 304) (66, 553) - 1 5 14 4 10 4 15 1 6 1 20 1 6 1 15 4 10 4 14 5 1 19 6 18 6 19 1 5 14 5 1 19 6 18 6 19
CS (40, 292) (66, 783) - 1 5 10 2 4 2 6 2 8 4 12 4 13 1 7 20 7 1 13 4 12 4 8 2 6 2 4 2 10 5 1 17 6 18 6 16 6 18 6 17
CS (44, 404) (66, 729) - 1 7 18 6 18 6 14 4 10 4 13 1 7 18 6 18 6 14 4 10 4 14 6 18 6 18 7 1 13 4 10 4 14 6 18 6 18 7 1 13 4 10 4 13
CS (72, 504) (66, 79) - 1 5 12 4 14 4 8 2 6 2 8 4 14 4 12 5 1 17 4 8 2 4 2 10 4 14 5 1 20 1 5 14 4 12 4 12 4 12 4 14 5 1 20 1 5 14 4 10 2 4 2 8 4 17 1 5 12 4 14 4 8 2 6 2 8 4 14 4 12 5 1 18
CS (44, 396) (67, 69) - 1 5 14 4 10 4 14 4 10 4 12 4 13 1 7 20 6 16 6 18 6 18 6 18 6 16 6 20 7 1 13 4 12 4 10 4 14 4 10 4 14 5 1 20
CS (40, 380) (68, 446) - 1 5 12 4 12 4 12 4 14 6 21 1 5 16 6 20 6 16 5 1 21 6 14 4 12 4 12 4 12 5 1 17 6 20 6 16 6 20 6 17
CS (52, 428) (68, 1057) - 1 5 14 4 10 4 12 4 13 1 7 20 7 1 14 1 7 20 7 1 14 1 7 20 7 1 13 4 12 4 10 4 14 5 1 20 1 5 14 5 1 19 6 16 6 19 1 5 14 5 1 20
CS (52, 440) (68, 275) - 1 5 16 4 8 4 17 1 6 1 17 4 8 4 16 4 8 4 17 1 6 1 17 4 8 4 16 5 1 21 6 14 4 12 4 14 6 21 1 5 16 5 1 21 6 14 4 12 4 14 6 21
CS (74, 620) (68, 338) - 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 6 20 6 17 1 6 1 17 6 20 6 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 6 20 6 17 1 6 1 17 4 8 4 17 1 6 1 17 6 20 6 17 1 6 1 17 6 21
CS (38, 308) (69, 119) - 1 5 14 4 10 2 4 2 8 4 16 4 8 2 4 2 10 4 14 5 1 19 6 18 6 20 7 1 13 4 13 1 7 20 6 18 6 19
CS (44, 420) (69, 53) - 1 5 14 4 10 4 16 6 20 6 16 4 10 4 14 5 1 19 6 18 6 18 4 8 4 16 5 1 21 6 16 6 21 1 5 16 4 8 4 18 6 18 6 19
CS (48, 388) (69, 103) - 1 5 14 4 10 2 4 2 8 2 2 2 14 6 21 1 5 16 6 20 6 18 6 18 6 20 6 16 5 1 21 6 14 2 2 2 8 2 4 2 10 4 14 5 1 19 6 19
CS (36, 300) (70, 127) - 1 5 12 2 2 2 10 4 14 6 20 6 14 4 10 2 2 2 12 5 1 19 6 16 6 20 7 1 14 1 7 20 6 16 6 19
CS (38, 336) (70, 311) - 1 5 16 4 8 4 17 1 6 1 17 4 8 4 16 5 1 21 6 15 1 7 21 1 5 16 6 20 6 16 5 1 21 7 1 15 6 21
CS (64, 456) (70, 443) - 1 5 10 2 4 2 8 2 4 2 8 4 16 6 19 1 6 1 16 1 6 1 19 6 16 4 8 2 4 2 8 2 4 2 10 5 1 17 4 6 2 8 4 16 6 18 6 19 1 5 14 5 1 19 6 18 6 16 4 8 2 6 4 17
CS (64, 540) (70, 68) - 1 5 12 4 12 4 12 5 1 17 6 19 1 6 1 15 4 10 4 14 4 10 4 14 5 1 19 6 18 6 18 6 17 1 6 1 18 1 6 1 17 6 18 6 18 6 19 1 5 14 4 10 4 14 4 10 4 15 1 6 1 19 6 17
OSO (19, 167) (71, 194) - 1 6 1 16 1 6 1 17 6 18 6 16 6 18 6 15 1 7 19
