0: 1 5 14 6 19, zy
166: 1 5 12 4 10 4 14 4 8 2 4 2 8 4 15 1 6 1 17 4 6 2 6 4 17, zy
167: 1 5 12 4 12 4 10 2 4 2 6 2 6 4 17 1 6 1 17 6 17 1 6 1 18, zy
168: 1 5 12 4 12 4 10 2 4 2 6 2 8 4 14 4 10 4 14 4 8 2 6 4 17, zy
169: 1 5 12 4 12 4 10 2 4 4 18 6 14 4 10 4 12 4 12 4 10 4 14 6 19, zy
170: 1 5 12 4 12 4 10 4 14 6 19 1 6 1 15 4 8 4 16 6 17 1 6 1 18, zy
171: 1 5 12 4 12 4 12 4 8 2 6 2 4 2 8 2 4 2 6 2 8 4 14 6 19, zy
172: 1 5 12 4 12 4 12 4 12 2 2 2 8 2 4 2 8 2 6 4 16 4 8 4 17, zy
173: 1 5 12 4 12 4 12 4 12 4 10 4 16 6 18 6 18 6 18 6 16 4 8 4 17, zy
174: 1 5 12 4 12 4 12 5 1 19 6 15 1 6 1 19 6 14 4 10 4 13 1 7 19, zy
175: 1 5 12 4 12 4 14 5 1 20 1 5 14 4 10 2 4 2 8 4 16 4 8 4 17, zy
176: 1 5 12 4 14 4 10 4 14 4 10 2 4 2 8 4 16 6 20 6 17 1 6 1 18, zy
177: 1 5 12 4 14 4 10 4 14 4 10 4 14 4 10 2 4 2 6 2 8 4 16 6 19, zy
178: 1 5 12 4 14 4 10 4 16 6 19 1 6 1 16 1 6 1 19 6 17 1 6 1 18, zy
179: 1 5 12 4 14 5 1 19 6 19 1 5 14 4 10 4 16 6 20 6 17 1 6 1 18, zy
180: 1 5 12 4 14 5 1 20 1 5 14 4 10 4 14 4 10 4 14 6 20 6 16 6 19, zy
181: 1 5 12 4 14 5 1 20 1 5 14 4 10 4 15 1 6 1 19 6 17 1 6 1 18, zy
182: 1 5 14 4 8 2 4 2 8 2 4 2 6 2 6 2 6 4 16 6 18 6 16 6 19, zy
183: 1 5 14 4 8 2 6 4 16 6 18 6 16 6 18 6 16 6 19 1 5 14 5 1 20, zy
184: 1 5 14 4 8 2 6 4 16 6 18 6 16 6 19 1 5 14 5 1 19 6 16 6 19, zy
185: 1 5 14 4 10 2 2 2 12 4 10 4 16 6 18 4 6 2 8 4 15 1 6 1 20, zy
186: 1 5 14 4 10 2 2 2 12 4 12 4 12 4 14 5 1 20 1 6 1 15 5 1 20, zy
187: 1 5 14 4 10 4 14 4 8 2 6 2 6 2 6 4 18 6 17 1 6 1 17 6 19, zy
188: 1 5 14 4 10 4 14 6 18 6 18 6 16 6 18 6 16 6 19 1 5 14 5 1 20, zy
189: 1 5 14 4 10 4 15 1 6 1 19 6 16 4 8 4 17 1 6 1 17 6 18 6 19, zy
190: 1 5 14 4 10 4 16 6 19 1 6 1 17 6 19 1 5 14 5 1 19 6 18 6 19, zy
191: 1 5 14 4 12 4 10 2 2 2 12 4 10 2 4 2 6 2 8 4 15 1 6 1 20, zy
192: 1 5 14 4 12 4 10 2 2 2 12 4 10 4 15 1 6 1 20 1 5 15 1 7 21, zy
193: 1 5 14 4 12 4 10 2 4 2 6 2 8 4 15 1 6 1 20 1 5 15 1 7 21, zy
194: 1 5 14 4 12 4 10 4 16 6 18 6 19 1 5 14 5 1 20 1 5 15 1 7 21, zy
195: 1 5 14 4 12 4 10 4 16 6 19 1 6 1 17 6 18 6 19 1 5 14 5 1 20, zy
196: 1 5 14 5 1 18 1 6 1 17 6 17 1 6 1 17 6 18 6 18 6 16 5 1 20, zy
197: 1 5 14 5 1 19 6 16 6 17 1 6 1 17 6 17 1 6 1 17 6 16 5 1 20, zy
